,title,year,category,result
194,you were never lovelier,1942,actor,O
195,always in my heart,1942,actor,O
196,babes on broadway,1942,actor,O
197,orchestra wives,1942,actor,O
198,youth on parade,1942,actor,O
199,hellzapoppin',1942,actor,O
200,the mayor of 44th street,1942,actor,O
201,friendly enemies,1942,actor,O
202,once upon a honeymoon,1942,actor,O
203,this above all,1942,actor,O
204,george washington slept here,1942,actor,O
205,the spoilers,1942,actor,O
206,captains of the clouds,1942,actor,O
207,reap the wild wind,1942,actor,O
208,moontide,1942,actor,O
209,ten gentlemen from west point,1942,actor,O
210,to the shores of tripoli,1942,actor,O
211,desperate journey,1942,actor,O
212,invisible agent,1942,actor,O
213,the navy comes through,1942,actor,O
214,casablanca,1943,actor,N
215,heaven can wait,1943,actor,O
216,the human comedy,1943,actor,N
217,the more the merrier,1943,actor,O
218,the song of bernadette,1943,actor,O
219,watch on the rhine,1943,actor,W
220,for whom the bell tolls,1943,actor,N
221,madame curie,1943,actor,N
222,the constant nymph,1943,actor,O
223,sahara,1943,actor,O
224,so proudly we hail!,1943,actor,O
225,princess o'rourke,1943,actor,O
226,air force,1943,actor,O
227,in which we serve,1943,actor,O
228,the north star,1943,actor,O
229,holy matrimony,1943,actor,O
230,the amazing mrs. holliday,1943,actor,O
231,commandos strike at dawn,1943,actor,O
232,the fallen sparrow,1943,actor,O
233,hangmen also die!,1943,actor,O
234,hi diddle diddle,1943,actor,O
235,in old oklahoma,1943,actor,O
236,johnny come lately,1943,actor,O
237,the kansan,1943,actor,O
238,lady of burlesque,1943,actor,O
239,the moon and sixpence,1943,actor,O
240,victory through air power,1943,actor,O
241,this is the army,1943,actor,O
242,coney island,1943,actor,O
243,hit parade of 1943,1943,actor,O
244,phantom of the opera,1943,actor,O
245,saludos amigos,1943,actor,O
246,the sky's the limit,1943,actor,O
247,something to shout about,1943,actor,O
248,stage door canteen,1943,actor,O
249,star spangled rhythm,1943,actor,O
250,thousands cheer,1943,actor,O
251,"hello, frisco, hello",1943,actor,O
252,cabin in the sky,1943,actor,O
253,hers to hold,1943,actor,O
254,thank your lucky stars,1943,actor,O
255,this land is mine,1943,actor,O
256,riding high,1943,actor,O
257,so this is washington,1943,actor,O
258,five graves to cairo,1943,actor,O
259,flight for freedom,1943,actor,O
260,mission to moscow,1943,actor,O
261,the gang's all here,1943,actor,O
262,corvette k-225,1943,actor,O
263,lassie come home,1943,actor,O
264,crash dive,1943,actor,O
265,bombardier,1943,actor,O
266,stand by for action,1943,actor,O
267,going my way,1944,actor,WN
268,double indemnity,1944,actor,O
269,gaslight,1944,actor,N
270,since you went away,1944,actor,O
271,wilson,1944,actor,N
272,laura,1944,actor,O
273,lifeboat,1944,actor,O
274,none but the lonely heart,1944,actor,N
275,mr. skeffington,1944,actor,O
276,mrs. parkington,1944,actor,O
277,the seventh cross,1944,actor,O
278,dragon seed,1944,actor,O
279,hail the conquering hero,1944,actor,O
280,the miracle of morgan's creek,1944,actor,O
281,two girls and a sailor,1944,actor,O
282,wing and a prayer,1944,actor,O
283,meet me in st. louis,1944,actor,O
284,address unknown,1944,actor,O
285,the adventures of mark twain,1944,actor,O
286,the bridge of san luis rey,1944,actor,O
287,casanova brown,1944,actor,O
288,christmas holiday,1944,actor,O
289,the fighting seabees,1944,actor,O
290,the hairy ape,1944,actor,O
291,it happened tomorrow,1944,actor,O
292,jack london,1944,actor,O
293,kismet,1944,actor,O
294,the princess and the pirate,1944,actor,O
295,summer storm,1944,actor,O
296,three russian girls,1944,actor,O
297,up in mabel's room,1944,actor,O
298,voice in the wind,1944,actor,O
299,the woman of the town,1944,actor,O
300,cover girl,1944,actor,O
301,brazil,1944,actor,O
302,higher and higher,1944,actor,O
303,hollywood canteen,1944,actor,O
304,irish eyes are smiling,1944,actor,O
305,knickerbocker holiday,1944,actor,O
306,lady in the dark,1944,actor,O
307,"lady, let's dance",1944,actor,O
308,the merry monahans,1944,actor,O
309,minstrel man,1944,actor,O
310,sensations of 1945,1944,actor,O
311,song of the open road,1944,actor,O
312,up in arms,1944,actor,O
313,follow the boys,1944,actor,O
314,sweet and lowdown,1944,actor,O
315,his butler's sister,1944,actor,O
316,music in manhattan,1944,actor,O
317,no time for love,1944,actor,O
318,step lively,1944,actor,O
319,the climax,1944,actor,O
320,the desert song,1944,actor,O
321,thirty seconds over tokyo,1944,actor,O
322,the uninvited,1944,actor,O
323,the white cliffs of dover,1944,actor,O
324,home in indiana,1944,actor,O
325,janie,1944,actor,O
326,days of glory,1944,actor,O
327,secret command,1944,actor,O
328,the story of dr. wassell,1944,actor,O
329,the lost weekend,1945,actor,W
330,anchors aweigh,1945,actor,N
331,the bells of st. mary's,1945,actor,N
332,mildred pierce,1945,actor,O
333,spellbound,1945,actor,O
334,national velvet,1945,actor,O
335,the southerner,1945,actor,O
336,the keys of the kingdom,1945,actor,N
337,a song to remember,1945,actor,N
338,the valley of decision,1945,actor,O
339,love letters,1945,actor,O
340,leave her to heaven,1945,actor,O
341,a tree grows in brooklyn,1945,actor,O
342,the corn is green,1945,actor,O
343,the story of g.i. joe,1945,actor,O
344,a medal for benny,1945,actor,O
345,the picture of dorian gray,1945,actor,O
346,marie-louise,1945,actor,O
347,dillinger,1945,actor,O
348,music for millions,1945,actor,O
349,salty o'rourke,1945,actor,O
350,"what next, corporal hargrove?",1945,actor,O
351,pride of the marines,1945,actor,O
352,brewster's millions,1945,actor,O
353,captain kidd,1945,actor,O
354,the enchanted cottage,1945,actor,O
355,flame of barbary coast,1945,actor,O
356,g. i. honeymoon,1945,actor,O
357,guest in the house,1945,actor,O
358,guest wife,1945,actor,O
359,the man who walked alone,1945,actor,O
360,"objective, burma!",1945,actor,O
361,paris underground,1945,actor,O
362,this love of ours,1945,actor,O
363,the woman in the window,1945,actor,O
364,belle of the yukon,1945,actor,O
365,can't help singing,1945,actor,O
366,hitchhike to happiness,1945,actor,O
367,incendiary blonde,1945,actor,O
368,rhapsody in blue,1945,actor,O
369,state fair,1945,actor,O
370,sunbonnet sue,1945,actor,O
371,the three caballeros,1945,actor,O
372,tonight and every night,1945,actor,O
373,why girls leave home,1945,actor,O
374,wonder man,1945,actor,O
375,here come the waves,1945,actor,O
376,earl carroll vanities,1945,actor,O
377,sing your way home,1945,actor,O
378,san antonio,1945,actor,O
379,lady on a train,1945,actor,O
380,they were expendable,1945,actor,O
381,three is a family,1945,actor,O
382,the unseen,1945,actor,O
383,blood on the sun,1945,actor,O
384,experiment perilous,1945,actor,O
385,frenchman's creek,1945,actor,O
386,a thousand and one nights,1945,actor,O
387,the spanish main,1945,actor,O
388,captain eddie,1945,actor,O
389,the best years of our lives,1946,actor,W
390,henry v,1946,actor,N
391,it's a wonderful life,1946,actor,N
392,the razor's edge,1946,actor,O
393,the yearling,1946,actor,N
394,brief encounter,1946,actor,O
395,the killers,1946,actor,O
396,the jolson story,1946,actor,N
397,to each his own,1946,actor,O
398,duel in the sun,1946,actor,O
399,sister kenny,1946,actor,O
400,the green years,1946,actor,O
401,notorious,1946,actor,O
402,the spiral staircase,1946,actor,O
403,saratoga trunk,1946,actor,O
404,anna and the king of siam,1946,actor,O
405,the seventh veil,1946,actor,O
406,the blue dahlia,1946,actor,O
407,children of paradise,1946,actor,O
408,road to utopia,1946,actor,O
409,"rome, open city",1946,actor,O
410,humoresque,1946,actor,O
411,blue skies,1946,actor,O
412,centennial summer,1946,actor,O
413,the harvey girls,1946,actor,O
414,night and day,1946,actor,O
415,the dolly sisters,1946,actor,O
416,canyon passage,1946,actor,O
417,kitty,1946,actor,O
418,caesar and cleopatra,1946,actor,O
419,blithe spirit,1946,actor,O
420,a stolen life,1946,actor,O
421,gentleman's agreement,1947,actor,N
422,the bishop's wife,1947,actor,O
423,crossfire,1947,actor,O
424,great expectations,1947,actor,O
425,miracle on 34th street,1947,actor,O
426,a double life,1947,actor,W
427,body and soul,1947,actor,N
428,life with father,1947,actor,N
429,mourning becomes electra,1947,actor,N
430,the farmer's daughter,1947,actor,O
431,possessed,1947,actor,O
432,"smash-up, the story of a woman",1947,actor,O
433,ride the pink horse,1947,actor,O
434,kiss of death,1947,actor,O
435,the paradine case,1947,actor,O
436,the egg and i,1947,actor,O
437,the bachelor and the bobby-soxer,1947,actor,O
438,monsieur verdoux,1947,actor,O
439,shoeshine,1947,actor,O
440,boomerang!,1947,actor,O
441,captain from castile,1947,actor,O
442,forever amber,1947,actor,O
443,mother wore tights,1947,actor,O
444,fiesta,1947,actor,O
445,my wild irish rose,1947,actor,O
446,road to rio,1947,actor,O
447,song of the south,1947,actor,O
448,"the time, the place and the girl",1947,actor,O
449,the perils of pauline,1947,actor,O
450,good news,1947,actor,O
451,green dolphin street,1947,actor,O
452,t-men,1947,actor,O
453,the foxes of harrow,1947,actor,O
454,black narcissus,1947,actor,O
455,the ghost and mrs. muir,1947,actor,O
456,odd man out,1947,actor,O
457,unconquered,1947,actor,O
458,hamlet,1948,actor,W
459,johnny belinda,1948,actor,N
460,the red shoes,1948,actor,O
461,the snake pit,1948,actor,O
462,the treasure of the sierra madre,1948,actor,O
463,the search,1948,actor,N
464,when my baby smiles at me,1948,actor,N
465,sitting pretty,1948,actor,N
466,joan of arc,1948,actor,O
467,i remember mama,1948,actor,O
468,"sorry, wrong number",1948,actor,O
469,the luck of the irish,1948,actor,O
470,key largo,1948,actor,O
471,a foreign affair,1948,actor,O
472,easter parade,1948,actor,O
473,the emperor waltz,1948,actor,O
474,the pirate,1948,actor,O
475,romance on the high seas,1948,actor,O
476,the paleface,1948,actor,O
477,casbah,1948,actor,O
478,that lady in ermine,1948,actor,O
479,wet blanket policy,1948,actor,O
480,moonrise,1948,actor,O
481,the naked city,1948,actor,O
482,portrait of jennie,1948,actor,O
483,green grass of wyoming,1948,actor,O
484,the loves of carmen,1948,actor,O
485,the three musketeers,1948,actor,O
486,b.f.'s daughter,1948,actor,O
487,red river,1948,actor,O
488,deep waters,1948,actor,O
489,all the king's men,1949,actor,W
490,battleground,1949,actor,O
491,the heiress,1949,actor,O
492,a letter to three wives,1949,actor,O
493,twelve o'clock high,1949,actor,N
494,the fallen idol,1949,actor,O
495,champion,1949,actor,N
496,the hasty heart,1949,actor,N
497,sands of iwo jima,1949,actor,N
498,pinky,1949,actor,O
499,my foolish heart,1949,actor,O
500,"edward, my son",1949,actor,O
501,come to the stable,1949,actor,O
502,bicycle thieves,1949,actor,O
503,beyond the forest,1949,actor,O
504,on the town,1949,actor,O
505,jolson sings again,1949,actor,O
506,look for the silver lining,1949,actor,O
507,neptune's daughter,1949,actor,O
508,it's a great feeling,1949,actor,O
509,so dear to my heart,1949,actor,O
510,"once more, my darling",1949,actor,O
511,madame bovary,1949,actor,O
512,little women,1949,actor,O
513,adventures of don juan,1949,actor,O
514,saraband for dead lovers,1949,actor,O
515,prince of foxes,1949,actor,O
516,she wore a yellow ribbon,1949,actor,O
517,the barkleys of broadway,1949,actor,O
518,sand,1949,actor,O
519,mother is a freshman,1949,actor,O
520,the window,1949,actor,O
521,mighty joe young,1949,actor,O
522,tulsa,1949,actor,O
523,all about eve,1950,actor,O
524,born yesterday,1950,actor,O
525,father of the bride,1950,actor,N
526,king solomon's mines,1950,actor,O
527,sunset boulevard,1950,actor,N
528,the asphalt jungle,1950,actor,O
529,the third man,1950,actor,O
530,cyrano de bergerac,1950,actor,W
531,the magnificent yankee,1950,actor,N
532,harvey,1950,actor,N
533,caged,1950,actor,O
534,broken arrow,1950,actor,O
535,mister 880,1950,actor,O
536,the flame and the arrow,1950,actor,O
537,no sad songs for me,1950,actor,O
538,samson and delilah,1950,actor,O
539,annie get your gun,1950,actor,O
540,cinderella,1950,actor,O
541,i'll get by,1950,actor,O
542,three little words,1950,actor,O
543,the west point story,1950,actor,O
544,"captain carey, u.s.a.",1950,actor,O
545,the toast of new orleans,1950,actor,O
546,singing guns,1950,actor,O
547,wabash avenue,1950,actor,O
548,louisa,1950,actor,O
549,our very own,1950,actor,O
550,trio,1950,actor,O
551,the red danube,1950,actor,O
552,destination moon,1950,actor,O
553,the furies,1950,actor,O
554,the black rose,1950,actor,O
555,that forsyte woman,1950,actor,O
556,an american in paris,1951,actor,O
557,decision before dawn,1951,actor,O
558,a place in the sun,1951,actor,N
559,quo vadis,1951,actor,O
560,a streetcar named desire,1951,actor,N
561,the african queen,1951,actor,W
562,detective story,1951,actor,O
563,bright victory,1951,actor,N
564,death of a salesman,1951,actor,N
565,the blue veil,1951,actor,O
566,come fill the cup,1951,actor,O
567,the mating season,1951,actor,O
568,la ronde,1951,actor,O
569,david and bathsheba,1951,actor,O
570,alice in wonderland,1951,actor,O
571,the great caruso,1951,actor,O
572,on the riviera,1951,actor,O
573,show boat,1951,actor,O
574,here comes the groom,1951,actor,O
575,the strip,1951,actor,O
576,golden girl,1951,actor,O
577,royal wedding,1951,actor,O
578,"rich, young and pretty",1951,actor,O
579,i want you,1951,actor,O
580,two tickets to broadway,1951,actor,O
581,fourteen hours,1951,actor,O
582,the house on telegraph hill,1951,actor,O
583,too young to kiss,1951,actor,O
584,tales of hoffmann,1951,actor,O
585,the frogmen,1951,actor,O
586,strangers on a train,1951,actor,O
587,when worlds collide,1951,actor,O
588,kind lady,1951,actor,O
589,the model and the marriage broker,1951,actor,O
590,the mudlark,1951,actor,O
591,the well,1951,actor,O
592,the greatest show on earth,1952,actor,O
593,high noon,1952,actor,W
594,ivanhoe,1952,actor,O
595,moulin rouge,1952,actor,N
596,the quiet man,1952,actor,O
597,five fingers,1952,actor,O
598,viva zapata!,1952,actor,N
599,the bad and the beautiful,1952,actor,N
600,the lavender hill mob,1952,actor,N
601,"come back, little sheba",1952,actor,O
602,sudden fear,1952,actor,O
603,the star,1952,actor,O
604,the member of the wedding,1952,actor,O
605,with a song in my heart,1952,actor,O
606,my cousin rachel,1952,actor,O
607,the big sky,1952,actor,O
608,singin' in the rain,1952,actor,O
609,the man in the white suit,1952,actor,O
610,the miracle of our lady of fatima,1952,actor,O
611,the thief,1952,actor,O
612,hans christian andersen,1952,actor,O
613,the jazz singer,1952,actor,O
614,the medium,1952,actor,O
615,son of paleface,1952,actor,O
616,because you're mine,1952,actor,O
617,just for you,1952,actor,O
618,breaking the sound barrier,1952,actor,O
619,the card,1952,actor,O
620,carrie,1952,actor,O
621,rashomon,1952,actor,O
622,the merry widow,1952,actor,O
623,the snows of kilimanjaro,1952,actor,O
624,navajo,1952,actor,O
625,million dollar mermaid,1952,actor,O
626,affair in trinidad,1952,actor,O
627,flat top,1952,actor,O
628,from here to eternity,1953,actor,N
629,julius caesar,1953,actor,N
630,the robe,1953,actor,N
631,roman holiday,1953,actor,O
632,shane,1953,actor,O
633,lili,1953,actor,O
634,stalag 17,1953,actor,W
635,mogambo,1953,actor,O
636,the moon is blue,1953,actor,O
637,hondo,1953,actor,O
638,torch song,1953,actor,O
639,pickup on south street,1953,actor,O
640,the cruel sea,1953,actor,O
641,above and beyond,1953,actor,O
642,this is cinerama,1953,actor,O
643,call me madam,1953,actor,O
644,"the 5,000 fingers of dr. t.",1953,actor,O
645,the band wagon,1953,actor,O
646,calamity jane,1953,actor,O
647,kiss me kate,1953,actor,O
648,small town girl,1953,actor,O
649,miss sadie thompson,1953,actor,O
650,the caddy,1953,actor,O
651,knights of the round table,1953,actor,O
652,the mississippi gambler,1953,actor,O
653,the war of the worlds,1953,actor,O
654,martin luther,1953,actor,O
655,the president's lady,1953,actor,O
656,titanic,1953,actor,O
657,the story of three loves,1953,actor,O
658,young bess,1953,actor,O
659,the four poster,1953,actor,O
660,all the brothers were valiant,1953,actor,O
661,beneath the 12-mile reef,1953,actor,O
662,the actress,1953,actor,O
663,dream wife,1953,actor,O
664,how to marry a millionaire,1953,actor,O
665,crazylegs,1953,actor,O
666,on the waterfront,1954,actor,W
667,the caine mutiny,1954,actor,N
668,the country girl,1954,actor,N
669,seven brides for seven brothers,1954,actor,O
670,three coins in the fountain,1954,actor,O
671,the high and the mighty,1954,actor,O
672,rear window,1954,actor,O
673,sabrina,1954,actor,O
674,a star is born,1954,actor,N
675,robinson crusoe,1954,actor,N
676,carmen jones,1954,actor,O
677,magnificent obsession,1954,actor,O
678,the barefoot contessa,1954,actor,O
679,executive suite,1954,actor,O
680,broken lance,1954,actor,O
681,genevieve,1954,actor,O
682,the silver chalice,1954,actor,O
683,the glenn miller story,1954,actor,O
684,there's no business like show business,1954,actor,O
685,white christmas,1954,actor,O
686,susan slept here,1954,actor,O
687,brigadoon,1954,actor,O
688,le plaisir,1954,actor,O
689,"20,000 leagues under the sea",1954,actor,O
690,désirée,1954,actor,O
691,red garters,1954,actor,O
692,rogue cop,1954,actor,O
693,the egyptian,1954,actor,O
694,the earrings of madame de…,1954,actor,O
695,indiscretion of an american wife,1954,actor,O
696,it should happen to you,1954,actor,O
697,gate of hell,1954,actor,O
698,hell and high water,1954,actor,O
699,them!,1954,actor,O
700,marty,1955,actor,W
701,love is a many-splendored thing,1955,actor,O
702,mister roberts,1955,actor,O
703,picnic,1955,actor,O
704,the rose tattoo,1955,actor,O
705,bad day at black rock,1955,actor,N
706,east of eden,1955,actor,N
707,summertime,1955,actor,O
708,love me or leave me,1955,actor,N
709,the man with the golden arm,1955,actor,N
710,i'll cry tomorrow,1955,actor,O
711,interrupted melody,1955,actor,O
712,trial,1955,actor,O
713,rebel without a cause,1955,actor,O
714,pete kelly's blues,1955,actor,O
715,blackboard jungle,1955,actor,O
716,battle cry,1955,actor,O
717,oklahoma!,1955,actor,O
718,daddy long legs,1955,actor,O
719,guys and dolls,1955,actor,O
720,it's always fair weather,1955,actor,O
721,the tender trap,1955,actor,O
722,unchained,1955,actor,O
723,not as a stranger,1955,actor,O
724,to catch a thief,1955,actor,O
725,queen bee,1955,actor,O
726,a man called peter,1955,actor,O
727,the pickwick papers,1955,actor,O
728,ugetsu,1955,actor,O
729,the virgin queen,1955,actor,O
730,the bridges at toko-ri,1955,actor,O
731,the dam busters,1955,actor,O
732,the rains of ranchipur,1955,actor,O
733,around the world in 80 days,1956,actor,O
734,friendly persuasion,1956,actor,O
735,giant,1956,actor,N
736,the king and i,1956,actor,W
737,the ten commandments,1956,actor,O
738,war and peace,1956,actor,O
739,lust for life,1956,actor,N
740,richard iii,1956,actor,N
741,anastasia,1956,actor,O
742,baby doll,1956,actor,O
743,the rainmaker,1956,actor,O
744,the bad seed,1956,actor,O
745,bus stop,1956,actor,O
746,the bold and the brave,1956,actor,O
747,written on the wind,1956,actor,O
748,the red balloon,1956,actor,O
749,julie,1956,actor,O
750,la strada,1956,actor,O
751,the ladykillers,1956,actor,O
752,between heaven and hell,1956,actor,O
753,the best things in life are free,1956,actor,O
754,the eddy duchin story,1956,actor,O
755,high society,1956,actor,O
756,meet me in las vegas,1956,actor,O
757,the man who knew too much,1956,actor,O
758,the brave one,1956,actor,O
759,somebody up there likes me,1956,actor,O
760,the proud and profane,1956,actor,O
761,seven samurai,1956,actor,O
762,the solid gold cadillac,1956,actor,O
763,teenage rebel,1956,actor,O
764,the harder they fall,1956,actor,O
765,stagecoach to fury,1956,actor,O
766,the power and the prize,1956,actor,O
767,forbidden planet,1956,actor,O
768,the bridge on the river kwai,1957,actor,W
769,12 angry men,1957,actor,O
770,peyton place,1957,actor,O
771,sayonara,1957,actor,N
772,witness for the prosecution,1957,actor,N
773,a hatful of rain,1957,actor,N
774,wild is the wind,1957,actor,N
775,the three faces of eve,1957,actor,O
776,"heaven knows, mr. allison",1957,actor,O
777,raintree county,1957,actor,O
778,a farewell to arms,1957,actor,O
779,the bachelor party,1957,actor,O
780,an affair to remember,1957,actor,O
781,boy on a dolphin,1957,actor,O
782,perri,1957,actor,O
783,the joker is wild,1957,actor,O
784,april love,1957,actor,O
785,tammy and the bachelor,1957,actor,O
786,gunfight at the o.k. corral,1957,actor,O
787,les girls,1957,actor,O
788,pal joey,1957,actor,O
789,funny face,1957,actor,O
790,the enemy below,1957,actor,O
791,the spirit of st. louis,1957,actor,O
792,gigi,1958,actor,O
793,auntie mame,1958,actor,O
794,cat on a hot tin roof,1958,actor,N
795,the defiant ones,1958,actor,N
796,separate tables,1958,actor,W
797,i want to live!,1958,actor,O
798,the inn of the sixth happiness,1958,actor,O
799,the old man and the sea,1958,actor,N
800,some came running,1958,actor,O
801,the big country,1958,actor,O
802,the brothers karamazov,1958,actor,O
803,teacher's pet,1958,actor,O
804,lonelyhearts,1958,actor,O
805,the horse's mouth,1958,actor,O
806,white wilderness,1958,actor,O
807,the young lions,1958,actor,O
808,the bolshoi ballet,1958,actor,O
809,damn yankees!,1958,actor,O
810,mardi gras,1958,actor,O
811,south pacific,1958,actor,O
812,houseboat,1958,actor,O
813,a certain smile,1958,actor,O
814,marjorie morningstar,1958,actor,O
815,a time to love and a time to die,1958,actor,O
816,vertigo,1958,actor,O
817,"bell, book and candle",1958,actor,O
818,the buccaneer,1958,actor,O
819,desire under the elms,1958,actor,O
820,cowboy,1958,actor,O
821,tom thumb,1958,actor,O
822,torpedo run,1958,actor,O
823,ben-hur,1959,actor,W
824,anatomy of a murder,1959,actor,N
825,the diary of anne frank,1959,actor,O
826,the nun's story,1959,actor,O
827,room at the top,1959,actor,N
828,some like it hot,1959,actor,N
829,the last angry man,1959,actor,N
830,pillow talk,1959,actor,O
