,actor,actress,cinematography,costume,director,editing,effects,music,picture,s_actor,s_actress,screenplay,song,sound,title,year
25,O,O,O,O,O,O,O,N,O,O,O,O,N,O,gulliver's travels,1939
26,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the man in the iron mask,1939
27,O,O,O,O,O,O,O,N,O,O,O,O,O,N,man of conquest,1939
28,O,O,O,O,O,O,O,N,O,O,O,O,O,O,nurse edith cavell,1939
29,O,O,O,O,O,N,W,N,O,O,O,O,O,N,the rains came,1939
30,O,O,O,O,O,O,O,O,O,O,O,O,N,O,second fiddle,1939
31,O,O,O,O,O,O,O,O,O,O,O,O,O,W,when tomorrow comes,1939
32,O,O,O,O,O,O,O,O,O,O,O,O,O,N,balalaika,1939
33,O,O,O,O,O,O,O,O,O,O,O,O,O,O,captain fury,1939
34,O,O,O,O,O,O,N,O,O,O,O,O,O,O,only angels have wings,1939
35,O,O,O,O,O,O,N,O,O,O,O,O,O,O,topper takes a trip,1939
36,O,O,O,O,O,O,N,O,O,O,O,O,O,O,union pacific,1939
37,N,N,W,O,N,N,N,N,W,O,N,N,O,O,rebecca,1940
38,O,O,N,O,O,O,O,O,N,O,N,O,O,O,"all this, and heaven too",1940
39,O,O,N,O,O,O,N,O,N,N,O,N,O,O,foreign correspondent,1940
40,N,O,O,O,W,N,O,O,N,O,W,N,O,N,the grapes of wrath,1940
41,N,O,O,O,O,O,O,N,N,N,O,N,O,O,the great dictator,1940
42,O,W,O,O,N,O,O,O,N,O,O,N,O,N,kitty foyle,1940
43,O,N,N,O,N,N,O,N,N,N,O,O,O,O,the letter,1940
44,O,O,N,O,O,N,N,N,N,O,O,N,O,O,the long voyage home,1940
45,O,N,O,O,O,O,O,N,N,O,O,O,O,N,our town,1940
46,W,N,O,O,N,O,O,O,N,O,N,W,O,O,the philadelphia story,1940
47,N,O,N,O,O,O,O,O,O,O,O,O,O,O,abe lincoln in illinois,1940
48,O,O,O,O,O,O,O,O,O,W,O,O,O,O,the westerner,1940
49,O,O,O,O,O,O,O,O,O,N,O,O,O,O,they knew what they wanted,1940
50,O,O,O,O,O,O,O,O,O,O,N,O,O,O,primrose path,1940
51,O,O,O,O,O,O,O,O,O,O,O,W,O,O,the great mcginty,1940
52,O,O,O,O,O,O,O,O,O,O,O,N,O,O,angels over broadway,1940
53,O,O,O,O,O,O,O,O,O,O,O,N,O,O,dr. ehrlich's magic bullet,1940
54,O,O,O,O,O,O,O,W,O,O,O,O,W,O,pinocchio,1940
55,O,O,O,O,O,O,O,N,O,O,O,O,O,O,arizona,1940
56,O,O,O,O,O,O,O,N,O,O,O,O,O,O,dark command,1940
57,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the fight for life,1940
58,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the house of the seven gables,1940
59,O,O,O,O,O,O,O,N,O,O,O,O,O,N,the howards of virginia,1940
60,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the mark of zorro,1940
61,O,O,O,O,O,O,O,N,O,O,O,O,O,O,my favorite wife,1940
62,O,O,N,O,O,W,O,N,O,O,O,O,O,N,north west mounted police,1940
63,O,O,O,O,O,O,N,N,O,O,O,O,O,O,one million b.c.,1940
64,O,O,W,O,O,O,W,N,O,O,O,O,O,O,the thief of bagdad,1940
65,O,O,N,O,O,O,O,N,O,O,O,O,O,O,waterloo bridge,1940
66,O,O,O,O,O,O,O,W,O,O,O,O,O,O,tin pan alley,1940
67,O,O,N,O,O,O,O,N,O,O,O,O,O,O,"arise, my love",1940
68,O,O,O,O,O,O,O,N,O,O,O,O,N,O,hit parade of 1941,1940
69,O,O,O,O,O,O,O,N,O,O,O,O,O,O,irene,1940
70,O,O,O,O,O,O,N,N,O,O,O,O,O,N,the sea hawk,1940
71,O,O,O,O,O,O,O,N,O,O,O,O,N,O,second chorus,1940
72,O,O,N,O,O,O,O,N,O,O,O,O,N,N,spring parade,1940
73,O,O,O,O,O,O,O,N,O,O,O,O,N,W,strike up the band,1940
74,O,O,N,O,O,O,O,O,O,O,O,O,N,O,down argentine way,1940
75,O,O,O,O,O,O,O,O,O,O,O,O,N,O,you'll find out,1940
76,O,O,O,O,O,O,O,O,O,O,O,O,N,O,music in my heart,1940
77,O,O,O,O,O,O,O,O,O,O,O,O,N,O,rhythm on the river,1940
78,O,O,O,O,O,O,O,O,O,O,O,O,O,N,behind the news,1940
79,O,O,O,O,O,O,O,O,O,O,O,O,O,N,captain caution,1940
80,O,O,O,O,O,O,O,O,O,O,O,O,O,N,too many husbands,1940
81,O,O,O,O,O,O,O,O,O,O,O,O,O,O,pride and prejudice,1940
82,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the boys from syracuse,1940
83,O,O,O,O,O,O,O,O,O,O,O,O,O,O,lillian russell,1940
84,O,O,O,O,O,O,O,O,O,O,O,O,O,O,"my son, my son!",1940
85,O,O,N,O,O,O,O,O,O,O,O,O,O,O,bitter sweet,1940
86,O,O,N,O,O,O,N,O,O,O,O,O,O,O,boom town,1940
87,O,O,N,O,O,O,N,O,O,O,O,O,O,O,the blue bird,1940
88,O,O,N,O,O,O,O,O,O,O,O,O,O,O,northwest passage,1940
89,O,O,O,O,O,O,N,O,O,O,O,O,O,O,dr. cyclops,1940
90,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the invisible man returns,1940
91,O,O,O,O,O,O,N,O,O,O,O,O,O,O,swiss family robinson,1940
92,O,O,O,O,O,O,N,O,O,O,O,O,O,O,typhoon,1940
93,O,O,O,O,O,O,N,O,O,O,O,O,O,O,women in war,1940
94,O,O,W,O,W,N,O,N,O,W,N,N,O,N,how green was my valley,1941
95,N,O,N,O,N,N,O,N,O,O,O,W,O,N,citizen kane,1941
96,N,O,N,O,N,O,O,O,O,N,O,W,O,O,here comes mr. jordan,1941
97,O,N,O,O,N,N,O,N,O,O,N,N,O,O,the little foxes,1941
98,W,O,N,O,N,W,O,N,O,N,N,N,O,N,sergeant york,1941
99,N,O,O,O,O,O,O,O,O,O,O,O,O,O,penny serenade,1941
100,N,O,O,O,O,O,O,W,O,O,O,O,O,O,all that money can buy,1941
101,O,W,O,O,O,O,O,N,O,O,O,O,O,O,suspicion,1941
102,O,N,N,O,O,O,O,N,O,O,O,N,O,O,hold back the dawn,1941
103,O,N,N,O,O,O,O,O,O,O,O,O,O,O,blossoms in the dust,1941
104,O,N,O,O,O,O,O,N,O,O,O,O,O,N,ball of fire,1941
105,O,O,O,O,O,O,O,O,O,N,O,N,O,O,the devil and miss jones,1941
106,O,O,O,O,O,O,O,O,O,N,O,N,O,O,the maltese falcon,1941
107,O,O,O,O,O,O,O,O,O,O,W,O,O,O,the great lie,1941
108,O,O,O,O,O,O,O,O,O,O,O,N,O,O,"tall, dark and handsome",1941
109,O,O,O,O,O,O,O,O,O,O,O,N,O,O,"tom, dick and harry",1941
110,O,O,O,O,O,O,O,N,O,O,O,O,O,O,back street,1941
111,O,O,O,O,O,O,O,N,O,O,O,O,O,O,cheers for miss bishop,1941
112,O,O,N,O,O,N,O,N,O,O,O,O,O,O,dr. jekyll and mr. hyde,1941
113,O,O,O,O,O,O,O,N,O,O,O,O,O,O,king of the zombies,1941
114,O,O,O,O,O,O,O,N,O,O,O,O,O,O,ladies in retirement,1941
115,O,O,O,O,O,O,O,N,O,O,O,O,O,O,lydia,1941
116,O,O,O,O,O,O,O,N,O,O,O,O,O,O,mercy island,1941
117,O,O,O,O,O,O,O,N,O,O,O,O,O,O,so ends our night,1941
118,O,O,N,O,O,O,O,N,O,O,O,O,O,O,sundown,1941
119,O,O,O,O,O,O,O,N,O,O,O,O,O,O,tanks a million,1941
120,O,O,O,O,O,O,O,N,O,O,O,O,O,O,that uncertain feeling,1941
121,O,O,O,O,O,O,O,N,O,O,O,O,O,O,this woman is mine,1941
122,O,O,O,O,O,O,O,W,O,O,O,O,N,O,dumbo,1941
123,O,O,O,O,O,O,O,N,O,O,O,O,N,O,all-american co-ed,1941
124,O,O,O,O,O,O,O,N,O,O,O,O,O,O,birth of the blues,1941
125,O,O,O,O,O,O,O,N,O,O,O,O,N,O,buck privates,1941
126,O,O,N,O,O,O,O,N,O,O,O,O,O,N,the chocolate soldier,1941
127,O,O,O,O,O,O,O,N,O,O,O,O,O,O,ice-capades,1941
128,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the strawberry blonde,1941
129,O,O,N,O,O,O,O,N,O,O,O,O,N,O,sun valley serenade,1941
130,O,O,O,O,O,O,O,N,O,O,O,O,O,O,sunny,1941
131,O,O,O,O,O,O,O,N,O,O,O,O,N,O,you'll never get rich,1941
132,O,O,O,O,O,O,O,O,O,O,O,O,W,O,lady be good,1941
133,O,O,O,O,O,O,O,O,O,O,O,O,N,O,ridin' on a rainbow,1941
134,O,O,O,O,O,O,O,O,O,O,O,O,N,O,blues in the night,1941
135,O,O,O,O,O,O,O,O,O,O,O,O,N,O,las vegas nights,1941
136,O,O,N,O,O,O,N,O,O,O,O,O,O,W,that hamilton woman,1941
137,O,O,O,O,O,O,O,O,O,O,O,O,O,N,appointment for love,1941
138,O,O,O,O,O,O,O,O,O,O,O,O,O,N,the devil pays off,1941
139,O,O,O,O,O,O,O,O,O,O,O,O,O,N,the men in her life,1941
140,O,O,O,O,O,O,O,O,O,O,O,O,O,N,skylark,1941
141,O,O,O,O,O,O,N,O,O,O,O,O,O,N,topper returns,1941
142,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the flame of new orleans,1941
143,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the son of monte cristo,1941
144,O,O,O,O,O,O,O,O,O,O,O,O,O,O,when ladies meet,1941
145,O,O,O,O,O,O,O,O,O,O,O,O,O,O,sis hopkins,1941
146,O,O,W,O,O,O,O,O,O,O,O,O,O,O,blood and sand,1941
147,O,O,N,O,O,O,O,O,O,O,O,O,O,O,louisiana purchase,1941
148,O,O,N,O,O,O,N,O,O,O,O,O,O,O,aloma of the south seas,1941
149,O,O,N,O,O,O,O,O,O,O,O,O,O,O,billy the kid,1941
150,O,O,N,O,O,O,N,O,O,O,O,O,O,O,dive bomber,1941
151,O,O,O,O,O,O,W,O,O,O,O,O,O,O,i wanted wings,1941
152,O,O,O,O,O,O,N,O,O,O,O,O,O,O,flight command,1941
153,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the invisible woman,1941
154,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the sea wolf,1941
155,O,O,O,O,O,O,N,O,O,O,O,O,O,O,a yank in the r.a.f.,1941
156,N,W,W,O,W,N,N,O,O,N,WN,W,O,N,mrs. miniver,1942
157,O,O,N,O,N,O,O,O,O,O,O,O,O,O,kings row,1942
158,N,O,O,O,N,O,O,N,O,O,N,N,O,O,random harvest,1942
159,O,O,O,O,N,O,O,O,O,N,O,N,O,O,wake island,1942
160,W,O,O,O,N,N,O,W,O,N,O,O,O,W,yankee doodle dandy,1942
161,N,N,N,O,O,W,N,N,O,O,O,N,O,N,the pride of the yankees,1942
162,N,O,N,O,O,O,O,O,O,O,O,O,O,O,the pied piper,1942
163,O,N,O,O,O,O,O,W,O,O,N,O,O,O,"now, voyager",1942
164,O,N,O,O,O,O,O,O,O,O,O,W,O,O,woman of the year,1942
165,O,N,O,O,O,O,O,O,O,O,O,O,O,O,my sister eileen,1942
166,O,O,O,O,O,O,O,O,O,W,O,O,O,O,johnny eager,1942
167,O,O,O,O,O,O,O,O,O,N,O,O,O,O,tortilla flat,1942
168,O,O,N,O,O,O,O,O,O,O,N,O,O,O,the magnificent ambersons,1942
169,O,O,O,O,O,O,N,O,O,O,O,N,O,O,one of our aircraft is missing,1942
170,O,O,O,O,O,O,O,O,O,O,O,N,O,N,road to morocco,1942
171,O,O,O,O,O,O,O,O,O,O,O,N,O,O,the war against mrs. hadley,1942
172,O,O,O,O,O,O,O,O,O,O,O,N,O,O,49th parallel,1942
173,O,O,N,O,O,N,O,N,O,O,O,N,O,O,the talk of the town,1942
174,O,O,N,O,O,O,O,N,O,O,O,O,O,N,arabian nights,1942
175,O,O,O,O,O,O,O,N,O,O,O,O,N,N,bambi,1942
176,O,O,W,O,O,O,N,N,O,O,O,O,O,O,the black swan,1942
177,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the corsican brothers,1942
178,O,O,O,O,O,O,N,N,O,O,O,O,O,N,flying tigers,1942
179,O,O,O,O,O,O,O,N,O,O,O,O,O,N,the gold rush,1942
180,O,O,O,O,O,O,O,N,O,O,O,O,O,O,i married a witch,1942
181,O,O,O,O,O,O,O,N,O,O,O,O,O,O,joan of paris,1942
182,O,O,N,O,O,O,N,N,O,O,O,O,O,O,jungle book,1942
183,O,O,O,O,O,O,O,N,O,O,O,O,O,O,klondike fury,1942
184,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the shanghai gesture,1942
185,O,O,O,O,O,O,O,N,O,O,O,O,O,O,silver queen,1942
186,O,O,N,O,O,O,O,N,O,O,O,O,O,O,"take a letter, darling",1942
187,O,O,O,O,O,O,O,N,O,O,O,O,O,O,to be or not to be,1942
188,O,O,O,O,O,O,O,N,O,O,O,O,N,O,flying with music,1942
189,O,O,O,O,O,O,O,N,O,O,O,O,O,O,for me and my gal,1942
190,O,O,O,O,O,O,O,N,O,O,O,O,W,O,holiday inn,1942
191,O,O,O,O,O,O,O,N,O,O,O,O,O,O,it started with eve,1942
192,O,O,O,O,O,O,O,N,O,O,O,O,O,O,johnny doughboy,1942
193,O,O,O,O,O,O,O,N,O,O,O,O,O,O,my gal sal,1942
194,O,O,O,O,O,O,O,N,O,O,O,O,N,N,you were never lovelier,1942
195,O,O,O,O,O,O,O,O,O,O,O,O,N,O,always in my heart,1942
196,O,O,O,O,O,O,O,O,O,O,O,O,N,O,babes on broadway,1942
197,O,O,O,O,O,O,O,O,O,O,O,O,N,O,orchestra wives,1942
198,O,O,O,O,O,O,O,O,O,O,O,O,N,O,youth on parade,1942
199,O,O,O,O,O,O,O,O,O,O,O,O,N,O,hellzapoppin',1942
200,O,O,O,O,O,O,O,O,O,O,O,O,N,O,the mayor of 44th street,1942
201,O,O,O,O,O,O,O,O,O,O,O,O,O,N,friendly enemies,1942
202,O,O,O,O,O,O,O,O,O,O,O,O,O,N,once upon a honeymoon,1942
203,O,O,N,O,O,N,O,O,O,O,O,O,O,N,this above all,1942
204,O,O,O,O,O,O,O,O,O,O,O,O,O,O,george washington slept here,1942
205,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the spoilers,1942
206,O,O,N,O,O,O,O,O,O,O,O,O,O,O,captains of the clouds,1942
207,O,O,N,O,O,O,W,O,O,O,O,O,O,O,reap the wild wind,1942
208,O,O,N,O,O,O,O,O,O,O,O,O,O,O,moontide,1942
209,O,O,N,O,O,O,O,O,O,O,O,O,O,O,ten gentlemen from west point,1942
210,O,O,N,O,O,O,O,O,O,O,O,O,O,O,to the shores of tripoli,1942
211,O,O,O,O,O,O,N,O,O,O,O,O,O,O,desperate journey,1942
212,O,O,O,O,O,O,N,O,O,O,O,O,O,O,invisible agent,1942
213,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the navy comes through,1942
214,N,O,N,O,W,N,O,N,O,N,O,W,O,O,casablanca,1943
215,O,O,N,O,N,O,O,O,O,O,O,O,O,O,heaven can wait,1943
216,N,O,N,O,N,O,O,O,O,O,O,O,O,O,the human comedy,1943
217,O,N,O,O,N,O,O,O,O,W,O,N,O,O,the more the merrier,1943
218,O,W,W,O,N,N,O,W,O,N,N,N,O,N,the song of bernadette,1943
219,W,O,O,O,O,O,O,O,O,O,N,N,O,O,watch on the rhine,1943
220,N,N,N,O,O,N,O,N,O,N,W,O,O,O,for whom the bell tolls,1943
221,N,N,N,O,O,O,O,N,O,O,O,O,O,N,madame curie,1943
222,O,N,O,O,O,O,O,O,O,O,O,O,O,O,the constant nymph,1943
223,O,O,N,O,O,O,O,O,O,N,O,O,O,N,sahara,1943
224,O,O,N,O,O,O,N,O,O,O,N,N,O,O,so proudly we hail!,1943
225,O,O,O,O,O,O,O,O,O,O,O,W,O,O,princess o'rourke,1943
226,O,O,N,O,O,W,N,O,O,O,O,N,O,O,air force,1943
227,O,O,O,O,O,O,O,O,O,O,O,N,O,O,in which we serve,1943
228,O,O,N,O,O,O,N,N,O,O,O,N,O,N,the north star,1943
229,O,O,O,O,O,O,O,O,O,O,O,N,O,O,holy matrimony,1943
230,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the amazing mrs. holliday,1943
231,O,O,O,O,O,O,O,N,O,O,O,O,O,O,commandos strike at dawn,1943
232,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the fallen sparrow,1943
233,O,O,O,O,O,O,O,N,O,O,O,O,O,N,hangmen also die!,1943
234,O,O,O,O,O,O,O,N,O,O,O,O,O,O,hi diddle diddle,1943
235,O,O,O,O,O,O,O,N,O,O,O,O,O,N,in old oklahoma,1943
236,O,O,O,O,O,O,O,N,O,O,O,O,O,O,johnny come lately,1943
237,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the kansan,1943
238,O,O,O,O,O,O,O,N,O,O,O,O,O,O,lady of burlesque,1943
239,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the moon and sixpence,1943
240,O,O,O,O,O,O,O,N,O,O,O,O,O,O,victory through air power,1943
241,O,O,O,O,O,O,O,W,O,O,O,O,O,N,this is the army,1943
242,O,O,O,O,O,O,O,N,O,O,O,O,O,O,coney island,1943
243,O,O,O,O,O,O,O,N,O,O,O,O,N,O,hit parade of 1943,1943
244,O,O,W,O,O,O,O,N,O,O,O,O,O,N,phantom of the opera,1943
245,O,O,O,O,O,O,O,N,O,O,O,O,N,N,saludos amigos,1943
246,O,O,O,O,O,O,O,N,O,O,O,O,N,O,the sky's the limit,1943
247,O,O,O,O,O,O,O,N,O,O,O,O,N,O,something to shout about,1943
248,O,O,O,O,O,O,O,N,O,O,O,O,N,O,stage door canteen,1943
249,O,O,O,O,O,O,O,N,O,O,O,O,N,O,star spangled rhythm,1943
250,O,O,N,O,O,O,O,N,O,O,O,O,O,O,thousands cheer,1943
251,O,O,N,O,O,O,O,O,O,O,O,O,W,O,"hello, frisco, hello",1943
252,O,O,O,O,O,O,O,O,O,O,O,O,N,O,cabin in the sky,1943
253,O,O,O,O,O,O,O,O,O,O,O,O,N,O,hers to hold,1943
254,O,O,O,O,O,O,O,O,O,O,O,O,N,O,thank your lucky stars,1943
255,O,O,O,O,O,O,O,O,O,O,O,O,O,W,this land is mine,1943
256,O,O,O,O,O,O,O,O,O,O,O,O,O,N,riding high,1943
257,O,O,O,O,O,O,O,O,O,O,O,O,O,N,so this is washington,1943
258,O,O,N,O,O,N,O,O,O,O,O,O,O,O,five graves to cairo,1943
259,O,O,O,O,O,O,O,O,O,O,O,O,O,O,flight for freedom,1943
260,O,O,O,O,O,O,O,O,O,O,O,O,O,O,mission to moscow,1943
261,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the gang's all here,1943
262,O,O,N,O,O,O,O,O,O,O,O,O,O,O,corvette k-225,1943
263,O,O,N,O,O,O,O,O,O,O,O,O,O,O,lassie come home,1943
264,O,O,O,O,O,O,W,O,O,O,O,O,O,O,crash dive,1943
265,O,O,O,O,O,O,N,O,O,O,O,O,O,O,bombardier,1943
266,O,O,O,O,O,O,N,O,O,O,O,O,O,O,stand by for action,1943
267,WN,O,N,O,W,N,O,O,W,W,O,W,W,O,going my way,1944
268,O,N,N,O,N,O,O,N,N,O,O,N,O,N,double indemnity,1944
269,N,W,N,O,O,O,O,O,N,O,N,N,O,O,gaslight,1944
270,O,N,N,O,O,N,N,W,N,N,N,O,O,O,since you went away,1944
271,N,O,W,O,N,W,N,N,N,O,O,W,O,W,wilson,1944
272,O,O,W,O,N,O,O,O,O,N,O,N,O,O,laura,1944
273,O,O,N,O,N,O,O,O,O,O,O,O,O,O,lifeboat,1944
274,N,O,O,O,O,N,O,N,O,O,W,O,O,O,none but the lonely heart,1944
275,O,N,O,O,O,O,O,O,O,N,O,O,O,O,mr. skeffington,1944
276,O,N,O,O,O,O,O,O,O,O,N,O,O,O,mrs. parkington,1944
277,O,O,O,O,O,O,O,O,O,N,O,O,O,O,the seventh cross,1944
278,O,O,N,O,O,O,O,O,O,O,N,O,O,O,dragon seed,1944
279,O,O,O,O,O,O,O,O,O,O,O,N,O,O,hail the conquering hero,1944
280,O,O,O,O,O,O,O,O,O,O,O,N,O,O,the miracle of morgan's creek,1944
281,O,O,O,O,O,O,O,O,O,O,O,N,O,O,two girls and a sailor,1944
282,O,O,O,O,O,O,O,O,O,O,O,N,O,O,wing and a prayer,1944
283,O,O,N,O,O,O,O,N,O,O,O,N,N,O,meet me in st. louis,1944
284,O,O,O,O,O,O,O,N,O,O,O,O,O,O,address unknown,1944
285,O,O,O,O,O,O,N,N,O,O,O,O,O,O,the adventures of mark twain,1944
286,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the bridge of san luis rey,1944
287,O,O,O,O,O,O,O,N,O,O,O,O,O,N,casanova brown,1944
288,O,O,O,O,O,O,O,N,O,O,O,O,O,O,christmas holiday,1944
289,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the fighting seabees,1944
290,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the hairy ape,1944
291,O,O,O,O,O,O,O,N,O,O,O,O,O,N,it happened tomorrow,1944
292,O,O,O,O,O,O,O,N,O,O,O,O,O,O,jack london,1944
293,O,O,N,O,O,O,O,N,O,O,O,O,O,N,kismet,1944
294,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the princess and the pirate,1944
295,O,O,O,O,O,O,O,N,O,O,O,O,O,O,summer storm,1944
296,O,O,O,O,O,O,O,N,O,O,O,O,O,O,three russian girls,1944
297,O,O,O,O,O,O,O,N,O,O,O,O,O,O,up in mabel's room,1944
298,O,O,O,O,O,O,O,N,O,O,O,O,O,N,voice in the wind,1944
299,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the woman of the town,1944
300,O,O,N,O,O,O,O,W,O,O,O,O,N,N,cover girl,1944
301,O,O,O,O,O,O,O,N,O,O,O,O,N,N,brazil,1944
302,O,O,O,O,O,O,O,N,O,O,O,O,N,O,higher and higher,1944
303,O,O,O,O,O,O,O,N,O,O,O,O,N,N,hollywood canteen,1944
304,O,O,O,O,O,O,O,N,O,O,O,O,O,O,irish eyes are smiling,1944
305,O,O,O,O,O,O,O,N,O,O,O,O,O,O,knickerbocker holiday,1944
306,O,O,N,O,O,O,O,N,O,O,O,O,O,O,lady in the dark,1944
307,O,O,O,O,O,O,O,N,O,O,O,O,N,O,"lady, let's dance",1944
308,O,O,O,O,O,O,O,N,O,O,O,O,O,O,the merry monahans,1944
309,O,O,O,O,O,O,O,N,O,O,O,O,N,O,minstrel man,1944
310,O,O,O,O,O,O,O,N,O,O,O,O,O,O,sensations of 1945,1944
311,O,O,O,O,O,O,O,N,O,O,O,O,N,O,song of the open road,1944
312,O,O,O,O,O,O,O,N,O,O,O,O,N,O,up in arms,1944
313,O,O,O,O,O,O,O,O,O,O,O,O,N,O,follow the boys,1944
314,O,O,O,O,O,O,O,O,O,O,O,O,N,O,sweet and lowdown,1944
315,O,O,O,O,O,O,O,O,O,O,O,O,O,N,his butler's sister,1944
316,O,O,O,O,O,O,O,O,O,O,O,O,O,N,music in manhattan,1944
317,O,O,O,O,O,O,O,O,O,O,O,O,O,O,no time for love,1944
318,O,O,O,O,O,O,O,O,O,O,O,O,O,O,step lively,1944
319,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the climax,1944
320,O,O,O,O,O,O,O,O,O,O,O,O,O,O,the desert song,1944
321,O,O,N,O,O,O,W,O,O,O,O,O,O,O,thirty seconds over tokyo,1944
322,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the uninvited,1944
323,O,O,N,O,O,O,O,O,O,O,O,O,O,O,the white cliffs of dover,1944
324,O,O,N,O,O,O,O,O,O,O,O,O,O,O,home in indiana,1944
325,O,O,O,O,O,N,O,O,O,O,O,O,O,O,janie,1944
326,O,O,O,O,O,O,N,O,O,O,O,O,O,O,days of glory,1944
327,O,O,O,O,O,O,N,O,O,O,O,O,O,O,secret command,1944
328,O,O,O,O,O,O,N,O,O,O,O,O,O,O,the story of dr. wassell,1944
329,W,O,N,O,W,N,O,N,W,O,O,W,O,O,the lost weekend,1945
330,N,O,N,O,O,O,O,W,N,O,O,O,N,O,anchors aweigh,1945
331,N,N,O,O,N,N,O,N,N,O,O,O,N,W,the bells of st. mary's,1945
332,O,W,N,O,O,O,O,O,N,O,N,N,O,O,mildred pierce,1945
333,O,O,N,O,N,O,N,W,N,N,O,O,O,O,spellbound,1945
334,O,O,N,O,N,W,O,O,O,O,W,O,O,O,national velvet,1945
335,O,O,O,O,N,O,O,N,O,O,O,O,O,N,the southerner,1945
336,N,O,N,O,O,O,O,N,O,O,O,O,O,O,the keys of the kingdom,1945
337,N,O,N,O,O,N,O,N,O,O,O,O,O,N,a song to remember,1945
338,O,N,O,O,O,O,O,N,O,O,O,O,O,O,the valley of decision,1945
339,O,N,O,O,O,O,O,N,O,O,O,O,N,O,love letters,1945
340,O,N,W,O,O,O,O,O,O,O,O,O,O,N,leave her to heaven,1945
341,O,O,O,O,O,O,O,O,O,W,O,N,O,O,a tree grows in brooklyn,1945
342,O,O,O,O,O,O,O,O,O,N,N,O,O,O,the corn is green,1945
343,O,O,O,O,O,O,O,N,O,N,O,N,N,O,the story of g.i. joe,1945
344,O,O,O,O,O,O,O,O,O,N,O,O,O,O,a medal for benny,1945
345,O,O,W,O,O,O,O,O,O,O,N,O,O,O,the picture of dorian gray,1945
346,O,O,O,O,O,O,O,O,O,O,O,W,O,O,marie-louise,1945
