,title,year,imdbID,precount_wins,precount_noms,win,nom,none
74,star wars: episode iii - revenge of the sith,2005,tt0121766,0,3,0,0,0
75,transformers: revenge of the fallen,2009,tt1055369,0,0,0,0,0
76,the twilight saga: breaking dawn - part 1,2011,tt1324999,1,1,0,0,0
77,the matrix reloaded,2003,tt0234215,0,0,0,0,0
78,inception,2010,tt1375666,0,5,0,2,5
79,wonder woman,2017,tt0451279,0,0,0,0,0
80,wonder(i) ,2017,tt6079330,0,0,0,0,0
81,fantastic beasts and where to find them,2016,tt3183660,1,1,0,0,7
82,shrek the third,2007,tt0413267,0,1,0,0,0
83,harry potter and the prisoner of azkaban,2004,tt0304141,0,1,0,0,7
84,pirates of the caribbean: dead men tell no tales,2017,tt1790809,2,9,0,0,0
85,e.t. the extra-terrestrial,1982,tt0083866,0,2,0,3,4
86,mission: impossible - fallout,2018,tt4912910,1,3,0,0,0
87,furious 6,2013,tt1905041,0,0,0,0,0
88,indiana jones and the kingdom of the crystal skull,2008,tt0367882,4,14,0,0,0
89,deadpool 2,2018,tt5463162,0,1,0,0,0
90,deadpool,2016,tt1431045,0,0,0,0,0
91,guardians of the galaxy,2014,tt2015381,0,0,0,0,7
92,avatar,2009,tt0499549,2,3,0,2,5
93,maleficent,2014,tt1587310,1,1,0,0,7
94,the amazing spider-man,2012,tt0948470,2,2,0,0,0
95,the da vinci code,2006,tt0382625,4,5,0,0,0
96,the hunger games: mockingjay - part 1,2014,tt1951265,1,4,0,0,0
97,shrek forever after,2010,tt0892791,0,1,0,0,0
98,x-men: days of future past,2014,tt1877832,1,4,0,0,0
99,madagascar 3: europe's most wanted,2012,tt1277953,0,1,0,0,0
100,"the chronicles of narnia: the lion, the witch and the wardrobe",2005,tt0363771,0,0,0,0,0
101,monsters university,2013,tt1453405,1,3,0,0,0
102,beverly hills cop,1984,tt0086960,0,0,0,1,6
103,gravity,2013,tt1454468,2,11,1,3,4
104,captain america: the winter soldier,2014,tt1843866,1,4,0,0,0
105,dawn of the planet of the apes,2014,tt2103281,0,1,0,0,7
106,transformers,2007,tt0418279,0,0,0,0,7
107,the twilight saga: new moon,2009,tt1259571,0,0,0,0,0
108,spider-man 2,2004,tt0316654,2,1,0,0,7
109,the amazing spider-man 2,2014,tt1872181,1,1,0,0,0
110,it!,1967,tt0061826,0,0,0,0,0
111,the twilight saga: eclipse,2010,tt1325004,0,0,0,0,0
112,protocol,1984,tt0087951,1,6,0,0,0
113,the hunger,1983,tt0085701,0,1,0,0,0
114,the hunger games,2012,tt1392170,0,5,0,0,0
115,moana,2016,tt3521164,0,0,0,0,7
116,mission: impossible - rogue nation,2015,tt2381249,1,5,0,0,0
117,interstellar,2014,tt0816692,2,9,0,0,7
118,doctor strange,2016,tt1211837,0,3,0,0,7
119,forrest gump,1994,tt0109830,3,2,4,5,2
120,the sixth sense,1999,tt0167404,0,0,0,5,2
121,steel,1997,tt0120207,0,0,0,0,0
122,man of steel,2013,tt0770828,0,8,0,0,0
123,kung fu panda 2,2011,tt1302011,3,6,0,0,0
124,ice age: the meltdown,2006,tt0438097,0,0,0,0,0
125,justice league,2017,tt0974015,1,6,0,0,0
126,big hero 6,2014,tt2245084,0,0,0,0,0
127,fantastic beasts: the crimes of grindelwald,2018,tt4123430,0,3,0,0,0
128,the hunger games: mockingjay - part 2,2015,tt1951266,1,4,0,0,0
129,star wars: episode ii - attack of the clones,2002,tt0121765,0,2,0,0,0
130,thor: the dark world,2013,tt1981115,2,5,0,0,0
131,sing,2016,tt3470600,2,1,0,0,0
132,the incredibles,2004,tt0317705,1,4,0,1,6
133,the incredible sarah,1976,tt0074678,2,3,0,0,7
134,kung fu panda,2008,tt0441773,3,5,0,0,0
135,the martian,2015,tt3659388,1,8,0,3,4
136,fast five,2011,tt1596343,0,0,0,0,0
137,iron man 2,2010,tt1228705,1,3,0,0,7
138,hancock,2008,tt0448157,1,3,0,0,0
139,ant-man and the wasp,2018,tt5095030,0,0,0,0,0
140,ratatouille,2007,tt0382932,0,2,0,1,6
141,logan,2017,tt3315342,0,2,0,1,6
142,the lost world: jurassic park,1997,tt0119567,2,6,0,0,0
143,mamma mia!,2008,tt0795421,0,0,0,0,0
144,transformers: the last knight,2017,tt3371366,2,4,0,0,0
145,madagascar: escape 2 africa,2008,tt0479952,0,0,0,0,0
146,deep throat part ii,1974,tt0069957,0,0,0,0,0
147,tangled,2010,tt0398286,0,0,0,0,7
148,war of the worlds,2005,tt0407304,3,9,0,0,7
149,the croods,2013,tt0481499,1,4,0,0,0
150,the hangover part ii,2011,tt1411697,0,0,0,0,0
151,quantum of solace,2008,tt0830515,3,7,0,0,0
152,i am legend,2007,tt0480249,1,2,0,0,0
153,iron man,2008,tt0371746,1,6,0,0,7
154,the one,2001,tt0267804,0,0,0,0,0
155,ready player one,2018,tt1677720,3,11,0,0,7
156,"monsters, inc.",2001,tt0198781,0,0,0,0,7
157,night at the museum,2006,tt0477347,0,4,0,0,0
158,star wars: episode vi - return of the jedi,1983,tt0086190,0,2,0,0,0
159,fifty shades of grey,2015,tt2322441,0,0,0,0,7
160,kong: skull island,2017,tt3731562,1,4,0,0,0
161,cars 2,2011,tt1216475,2,4,0,0,0
162,armageddon,1998,tt0120591,1,1,0,0,7
163,ted,2012,tt1637725,0,1,0,0,7
164,sniper,1993,tt0108171,0,1,0,0,0
165,american sniper,2014,tt2179136,4,7,0,3,4
166,mission: impossible ii,2000,tt0120755,1,4,0,0,0
167,sherlock holmes: a game of shadows,2011,tt1515091,0,4,0,0,0
168,x-men: apocalypse,2016,tt3385516,1,6,0,0,0
169,the day after tomorrow,2004,tt0319262,0,0,0,0,0
170,despicable me,2010,tt1323594,1,2,0,0,0
171,z,1969,tt0065234,0,0,0,3,4
172,world war z,2013,tt0816711,0,3,0,0,0
173,star wars: episode v - the empire strikes back,1980,tt0080684,0,2,0,0,0
174,wall-e,2008,tt0910970,0,1,0,1,6
175,the revenant,2015,tt1663202,3,4,2,4,3
176,ralph breaks the internet,2018,tt5848272,0,2,0,0,0
177,the boss baby,2017,tt3874544,0,1,0,0,0
178,dunkirk,2017,tt5013056,0,2,0,2,5
179,the simpsons movie,2007,tt0462538,3,4,0,0,0
180,sherlock holmes,2009,tt0988045,0,4,0,0,7
181,kung fu panda 3,2016,tt2267968,3,7,0,0,0
182,ant-man,2015,tt0478970,2,0,0,0,0
183,terminator 2: judgment day,1991,tt0103064,0,0,0,0,0
184,meet the fockers,2004,tt0290002,5,11,0,0,0
185,dr. seuss' the grinch,2018,tt2709692,0,1,0,0,0
186,fallen,1998,tt0119099,1,3,0,0,0
187,ghost,1990,tt0099653,0,0,2,3,4
188,wake in fright,1971,tt0067541,0,0,0,0,0
189,troy,2004,tt0332452,0,2,0,0,7
190,toy story 2,1999,tt0120363,2,4,0,0,7
191,the dragon flies,1975,tt0073343,0,0,0,0,0
192,how to train your dragon,2010,tt0892769,0,0,0,0,7
193,twister,1996,tt0117998,0,0,0,0,7
194,oz the great and powerful,2013,tt1623205,1,4,0,0,0
195,war for the planet of the apes,2017,tt3450958,0,2,0,0,7
196,demons,1985,tt0089013,0,0,0,0,0
197,bruce almighty,2003,tt0315327,0,3,0,0,0
198,shrek,2001,tt0126029,0,2,0,1,6
199,rise of the planet of the apes,2011,tt1318514,0,0,0,0,7
200,johnny english,2003,tt0274166,0,0,0,0,0
201,mr. & mrs. smith,2005,tt0356910,1,1,0,0,0
202,home alone,1990,tt0099785,0,1,0,0,7
203,charlie and the chocolate factory,2005,tt0367594,0,3,0,0,7
204,hotel transylvania 2,2015,tt2510894,0,0,0,0,0
205,san andreas,2015,tt2126355,0,0,0,0,0
206,indiana jones and the last crusade,1989,tt0097576,1,10,0,0,7
207,wreck-it ralph,2012,tt1772341,0,1,0,0,0
208,jaws,1975,tt0073195,0,2,0,1,6
209,chapter two,1979,tt0078952,0,6,0,1,6
210,the santa clause,1994,tt0111070,0,0,0,0,0
211,bumblebee,2018,tt4701182,0,1,0,0,0
212,the lego movie,2014,tt1490017,0,0,0,0,7
213,the hangover,2009,tt1119646,0,0,0,0,0
214,star trek into darkness,2013,tt1408101,0,0,0,0,7
215,the matrix,1999,tt0133093,0,1,0,0,7
216,pretty woman,1990,tt0100405,0,1,0,1,6
217,the car,1977,tt0075809,0,1,0,0,0
218,cars,2006,tt0317219,1,9,0,0,7
219,gladiator,2000,tt0172495,0,3,2,5,2
220,x-men: the last stand,2006,tt0376994,1,2,0,0,0
221,national treasure: book of secrets,2007,tt0465234,2,5,0,0,0
222,300,2006,tt0416449,0,0,0,0,0
223,ocean's 11,1960,tt0054135,1,2,0,0,0
224,ocean's eleven,2001,tt0240772,1,2,0,0,0
225,thor,2011,tt0800369,2,7,0,0,0
226,tarzan,1999,tt0120855,0,6,0,0,7
227,la la land,2016,tt3783958,0,3,2,5,2
228,the bourne ultimatum,2007,tt0440963,1,3,0,0,7
229,men in black ii,2002,tt0120912,1,3,0,0,0
230,terminator genisys,2015,tt1340138,2,2,0,0,0
231,the exorcist,1973,tt0070047,1,3,1,6,1
232,warcraft,2016,tt0803096,0,0,0,0,0
233,ocean's twelve,2004,tt0349903,2,3,0,0,0
234,the greatest showman,2017,tt1485796,1,6,0,0,7
235,the secret life of pets,2016,tt2709768,0,0,0,0,0
236,the detective,1968,tt0062883,2,3,0,0,0
237,die another day,2002,tt0246460,1,0,0,0,0
238,cast away,2000,tt0162222,1,1,0,1,6
239,the matrix revolutions,2003,tt0242653,0,0,0,0,0
240,django,1966,tt0060315,0,0,0,0,0
241,django unchained,2012,tt1853728,3,7,2,3,4
242,she beast,1966,tt0061005,0,0,0,0,0
243,the beast,1975,tt0072752,0,0,0,0,0
244,the chronicles of narnia: prince caspian,2008,tt0499448,0,0,0,0,0
245,the chronicles of narnia: the voyage of the dawn treader,2010,tt0980970,0,0,0,0,0
246,sex and the city,2008,tt1000774,0,0,0,0,0
247,kingsman: the secret service,2014,tt2802144,1,1,0,0,0
248,the king's speech,2010,tt1504320,0,2,4,6,1
249,pacific rim,2013,tt1663662,0,2,0,0,0
250,kingsman: the golden circle,2017,tt4649466,0,0,0,0,0
251,the bodyguard,1992,tt0103855,1,4,0,0,7
252,x2: x-men united,2003,tt0290334,1,2,0,0,0
253,signs,2002,tt0286106,2,3,0,0,0
254,prometheus,2012,tt1446714,1,4,0,0,7
255,tron: legacy,2010,tt1104001,1,4,0,0,0
256,mission: impossible iii,2006,tt0317919,1,3,0,0,0
257,snow white and the huntsman,2012,tt1735898,1,2,0,0,7
258,grease,1978,tt0077631,0,1,0,0,7
259,mamma mia! here we go again,2018,tt6911608,0,1,0,0,0
260,solo: a star wars story,2018,tt3778644,1,9,0,0,0
261,the wolf of wall street,2013,tt0993846,1,11,0,5,2
262,superman returns,2006,tt0348150,2,0,0,0,7
263,independence day: resurgence,2016,tt1628841,0,0,0,0,0
264,robin hood: prince of thieves,1991,tt0102798,1,4,0,0,0
265,raiders of the lost ark,1981,tt0082971,0,3,0,2,5
266,back to the future,1985,tt0088763,0,0,0,1,6
267,star trek,2009,tt0796366,0,0,0,0,7
268,cars 3,2017,tt3606752,1,1,0,0,0
269,live free or die hard,2007,tt0337978,0,0,0,0,0
270,happy feet,2006,tt0366548,0,3,0,0,0
271,monsters vs. aliens,2009,tt0892782,1,0,0,0,0
272,fifty shades darker,2017,tt4465564,0,0,0,0,0
273,mad max: fury road,2015,tt1392190,1,4,0,0,0
274,true lies,1994,tt0111503,0,0,0,0,7
275,slumdog millionaire,2008,tt1010048,0,1,3,3,4
276,g.i. joe: retaliation,2013,tt1583421,0,0,0,0,0
277,taken 2,2012,tt1397280,0,1,0,0,0
278,batman begins,2005,tt0372784,2,6,0,0,7
279,the adventures of tintin,2011,tt0983193,3,7,0,0,7
280,what women want,2000,tt0207201,4,1,0,0,0
281,x-men origins: wolverine,2009,tt0458525,0,0,0,0,0
282,the golden compass,2007,tt0385752,1,1,0,0,7
283,fifty shades freed,2018,tt4477536,0,0,0,0,0
284,captain america,1990,tt0103923,0,1,0,0,0
285,captain america: the first avenger,2011,tt0458339,1,2,0,0,0
286,terminator salvation,2009,tt0438488,0,1,0,0,0
287,edge of tomorrow,2014,tt1631867,1,3,0,0,0
288,there's something about mary,1998,tt0129387,0,0,0,0,0
289,jurassic park iii,2001,tt0163025,0,2,0,0,0
290,gone girl,2014,tt2267998,0,2,0,1,6
291,the fugitive,1993,tt0106977,0,2,1,2,5
292,shark tale,2004,tt0307453,3,7,0,0,0
293,die hard with a vengeance,1995,tt0112864,1,3,0,0,0
294,notting hill,1999,tt0125439,0,3,0,0,0
295,night at the museum: secret of the tomb,2014,tt2692250,1,4,0,0,0
296,noah,2014,tt1959490,3,6,0,0,0
297,a bug's life,1998,tt0120623,1,0,0,0,7
298,the world is not enough,1999,tt0143145,0,0,0,0,0
299,alvin and the chipmunks,2007,tt0952640,0,0,0,0,0
300,home alone 2: lost in new york,1992,tt0104431,1,1,0,0,0
301,minority report,2002,tt0181689,3,11,0,0,7
302,hotel transylvania,2012,tt0837562,0,0,0,0,0
303,the legend of tarzan,2016,tt0918940,2,0,0,0,0
304,american beauty,1999,tt0169547,1,1,4,5,2
305,apollo 13,1995,tt0112384,2,2,0,4,3
306,rain man,1988,tt0095953,1,5,4,4,3
307,basic instinct,1992,tt0103772,2,0,0,0,7
308,instinct,1999,tt0128278,2,3,0,0,0
309,hannibal,2001,tt0212985,2,10,0,0,0
310,now you see me 2,2016,tt3110958,0,6,0,0,0
311,angry birds,2016,tt1985949,0,0,0,0,0
312,catch me if you can,2002,tt0264464,6,10,0,1,6
313,peter rabbit,2018,tt5117670,0,0,0,0,0
314,mary poppins returns,2018,tt5028340,0,3,0,0,7
315,dinosaur,2000,tt0130623,0,1,0,0,0
316,deep impact,1998,tt0120647,3,10,0,0,0
317,the lorax,2012,tt1482459,0,1,0,0,0
318,national treasure,2004,tt0368891,1,1,0,0,0
319,the maze runner,2014,tt1790864,0,0,0,0,0
320,troll,1986,tt0092115,0,0,0,0,0
321,trolls,2016,tt1679335,0,1,0,0,7
322,"i, robot",2004,tt0343818,1,2,0,0,7
323,rush hour 2,2001,tt0266915,0,0,0,0,0
324,pocahontas,1995,tt0114148,0,0,0,0,7
325,xxx: return of xander cage,2017,tt1293847,0,0,0,0,0
326,how the grinch stole christmas,2000,tt0170016,0,0,0,0,7
327,star trek beyond,2016,tt2660888,0,0,0,0,0
328,the flintstones,1994,tt0109813,0,0,0,0,0
329,the quiet,2005,tt0414951,0,0,0,0,0
330,a quiet place,2018,tt6644200,0,0,0,0,7
331,enchanted,2007,tt0461770,0,1,0,0,7
332,300: rise of an empire,2014,tt1253863,0,0,0,0,0
333,batman forever,1995,tt0112462,1,1,0,0,7
334,prince of persia: the sands of time,2010,tt0473075,1,4,0,0,0
335,over the hedge,2006,tt0327084,0,0,0,0,0
336,"now you see him, now you don't",1972,tt0069031,0,0,0,0,0
337,journey 2: the mysterious island,2012,tt1397514,2,4,0,0,0
338,the rock,1996,tt0117500,2,1,0,0,7
339,the curious female,1970,tt0123770,0,0,0,0,0
340,the curious case of benjamin button,2008,tt0421715,2,6,0,5,2
341,tomorrow never dies,1997,tt0120347,0,0,0,0,0
342,indiana jones and the temple of doom,1984,tt0087469,0,6,0,0,7
343,the good dinosaur,2015,tt1979388,1,5,0,0,0
344,back to the future part ii,1989,tt0096874,0,1,0,0,7
345,22 jump street,2014,tt2294449,0,2,0,0,0
346,meet the parents,2000,tt0212338,2,4,0,0,7
347,who framed roger rabbit,1988,tt0096438,0,2,0,0,7
348,the perfect storm,2000,tt0177971,0,2,0,0,7
349,black swan,2010,tt0947798,0,2,1,3,4
350,crocodile dundee,1986,tt0090555,0,0,0,1,6
351,se7en,1995,tt0114369,0,3,0,0,0
352,taken 3,2014,tt2446042,1,1,0,0,0
353,devil times five,1974,tt0071413,0,0,0,0,0
354,the devil wears prada,2006,tt0458352,2,11,0,1,6
355,a christmas carol,2009,tt1067106,1,1,0,0,0
356,the hunchback of notre dame,1996,tt0116583,0,0,0,0,7
357,the spongebob movie: sponge out of water,2015,tt2279373,0,0,0,0,0
358,green book,2018,tt6966692,1,2,3,4,3
359,megamind,2010,tt1001526,0,2,0,0,0
360,lethal weapon 3,1992,tt0104714,1,1,0,0,0
361,schindler's list,1993,tt0108052,1,7,3,5,2
362,101 dalmatians,1996,tt0115433,0,6,0,0,0
363,the last airbender,2010,tt0938283,0,2,0,0,0
364,the conjuring 2,2016,tt3065204,0,1,0,0,0
365,the conjuring,2013,tt1457767,0,1,0,0,0
366,fatal attraction,1987,tt0093010,1,3,0,5,2
367,the expendables 2,2012,tt1764651,0,1,0,0,0
368,chicken little,2005,tt0371606,0,0,0,0,0
369,as good as it gets,1997,tt0119822,6,11,2,5,2
370,a beautiful mind,2001,tt0268978,1,4,4,5,2
371,ocean's thirteen,2007,tt0496806,3,6,0,0,0
372,maze runner: the scorch trials,2015,tt4046784,0,0,0,0,0
373,resident evil: the final chapter,2016,tt2592614,0,0,0,0,0
374,austin powers: the spy who shagged me,1999,tt0145660,0,0,0,0,0
375,the polar express,2004,tt0338348,3,4,0,0,7
376,little fockers,2010,tt0970866,4,9,0,0,0
377,bolt,2008,tt0397892,0,2,0,0,0
378,ransom,1996,tt0117438,2,2,0,0,0
379,runaway bride,1999,tt0163187,0,4,0,0,0
380,the blind side,2009,tt0878804,0,0,1,2,5
381,rise of the guardians,2012,tt1446192,0,3,0,0,0
382,the pursuit of happyness,2006,tt0454921,0,1,0,1,6
383,chicago,2002,tt0299658,2,3,2,7,1
384,the fault in our stars,2014,tt2582846,0,1,0,0,0
385,close encounters of the third kind,1977,tt0075860,0,2,0,2,5
386,to the wonder,2012,tt1595656,1,5,0,0,0
387,annabelle: creation,2017,tt5140878,0,0,0,0,0
388,pirates of the caribbean: the curse of the black pearl,2003,tt0325980,1,3,0,0,0
389,wrath of the titans,2012,tt1646987,0,3,0,0,0
390,mulan,1998,tt0120762,0,0,0,0,7
391,battleship,2012,tt1440129,0,0,0,0,0
392,liar liar,1997,tt0119528,0,0,0,0,0
393,one hundred and one dalmatians,1961,tt0055254,0,0,0,0,0
394,g.i. joe: the rise of cobra,2009,tt1046173,0,0,0,0,0
395,hook,1991,tt0102057,2,14,0,0,7
396,alice through the looking glass,2016,tt2567026,1,6,0,0,0
397,van helsing,2004,tt0338526,0,0,0,0,0
398,resident evil: afterlife,2010,tt1220634,0,0,0,0,0
399,rocky iv,1985,tt0089927,0,4,0,0,0
400,rambo: first blood part ii,1985,tt0089880,0,1,0,0,0
401,beverly hills cop ii,1987,tt0092644,0,1,0,0,7
402,smokey and the bandit,1977,tt0076729,0,0,0,0,7
403,the bandit,1996,tt0116231,0,0,0,0,0
404,stuart little,1999,tt0164912,1,1,0,0,7
405,stuart little 2,2002,tt0243585,3,2,0,0,0
406,real steel,2011,tt0433035,0,0,0,0,7
407,my best friend's wedding,1997,tt0119738,1,2,0,0,7
408,insurgent,2015,tt2908446,2,5,0,0,0
409,horton hears a who!,2008,tt0451079,0,0,0,0,0
410,austin powers in goldmember,2002,tt0295178,0,0,0,0,0
411,look who's talking,1989,tt0097778,1,2,0,0,0
412,ferdinand,2017,tt3411444,0,0,0,0,0
413,miss peregrine's home for peculiar children,2016,tt1935859,1,7,0,0,0
414,ghostbusters,1984,tt0087332,0,0,0,0,7
415,sex and the city 2,2010,tt1261945,0,0,0,0,0
416,shutter island,2010,tt1130884,2,13,0,0,0
417,dr. dolittle 2,2001,tt0240462,0,0,0,0,0
418,up,2009,tt1049413,0,0,0,2,5
419,the twilight saga: breaking dawn - part 2,2012,tt1673434,1,1,0,0,0
420,the departed,2006,tt0407887,4,18,3,4,3
421,what lies beneath,2000,tt0161081,1,4,0,0,0
422,the green mile,1999,tt0120689,2,3,0,3,4
423,divergent,2014,tt1840309,0,0,0,0,0
424,coming to america,1988,tt0094898,0,0,0,0,7
425,shakespeare in love,1998,tt0138097,1,0,4,6,1
426,bridesmaids,2011,tt1478338,0,0,0,2,5
427,bee movie,2007,tt0389790,1,2,0,0,0
428,maze runner: the death cure,2018,tt4500922,0,0,0,0,0
429,casper,1995,tt0112642,0,1,0,0,0
430,pitch perfect 2,2015,tt2848292,0,2,0,0,0
431,the sound of music,1965,tt0059742,3,5,2,4,3
432,the godfather,1972,tt0068646,1,5,3,5,2
433,lethal weapon 4,1998,tt0122151,3,1,0,0,0
434,wedding crashers,2005,tt0396269,1,1,0,0,0
435,john carter,2012,tt0401729,0,6,0,0,0
436,bridget jones's diary,2001,tt0243155,0,1,0,1,6
437,scary movie,2000,tt0175142,0,0,0,0,0
438,xxx,2002,tt0295701,0,1,0,0,0
439,the bourne legacy,2012,tt1194173,0,6,0,0,0
440,scooby-doo,2002,tt0267913,0,0,0,0,0
441,lara croft: tomb raider,2001,tt0146316,2,2,0,0,0
442,lara croft tomb raider: the cradle of life,2003,tt0325703,1,0,0,0,0
443,tomb raider,2018,tt1365519,1,0,0,0,0
444,lincoln,2012,tt0443272,7,12,1,6,1
445,the expendables,2010,tt1320253,0,1,0,0,0
446,jerry maguire,1996,tt0116695,0,1,1,4,3
447,bad boys ii,2003,tt0172156,0,2,0,0,0
448,lilo & stitch,2002,tt0275847,0,0,0,0,0
449,the silence of the lambs,1991,tt0102926,1,1,5,5,2
450,the princess and the frog,2009,tt0780521,0,0,0,0,7
451,"10,000 bc",2008,tt0443649,0,0,0,0,0
452,the firm,1993,tt0106918,5,8,0,1,6
453,we're the millers,2013,tt1723121,0,0,0,0,0
454,gran torino,2008,tt1205489,4,5,0,0,0
455,rocky iii,1982,tt0084602,0,4,0,0,7
456,exodus,1960,tt0053804,1,5,0,1,6
457,exodus: gods and kings,2014,tt1528100,2,7,0,0,0
458,paddington,2014,tt1109624,0,0,0,0,0
459,batman returns,1992,tt0103776,1,2,0,0,7
460,something's gotta give,2003,tt0337741,5,14,0,1,6
461,indecent proposal,1993,tt0107211,1,3,0,0,0
462,american gangster,2007,tt0765429,4,9,0,1,6
463,waterworld,1995,tt0114898,1,1,0,0,7
464,charlie's angels,2000,tt0160127,0,0,0,0,0
465,the fifth element,1997,tt0119116,0,1,0,0,7
466,the truman show,1998,tt0120382,0,3,0,3,4
467,the incredible hulk,2008,tt0800080,1,6,0,0,0
468,jumanji,1995,tt0113497,0,3,0,0,0
469,knight and day,2010,tt1013743,0,3,0,0,0
470,bridget jones: the edge of reason,2004,tt0317198,2,3,0,0,0
471,borat: cultural learnings of america for make benefit glorious nation of kazakhstan,2006,tt0443453,0,0,0,0,0
472,robots,2005,tt0358082,1,1,0,0,0
473,the lone ranger,2013,tt1210819,0,6,0,0,7
474,blade runner 2049,2017,tt1856101,0,3,0,0,7
475,charlie's angels: full throttle,2003,tt0305357,0,0,0,0,0
476,rush hour 3,2007,tt0293564,0,1,0,0,0
477,the full monty,1997,tt0119164,0,0,0,3,4
478,the village,2004,tt0368447,2,5,0,0,7
479,erin brockovich,2000,tt0195685,0,7,1,5,2
480,halloween,1978,tt0077651,0,0,0,0,0
481,get out,2017,tt5052448,0,2,1,4,3
482,cliffhanger,1993,tt0106582,0,3,0,0,7
483,wild hogs,2007,tt0486946,0,3,0,0,0
484,high school musical 3,2008,tt0962726,0,0,0,0,0
485,enemy of the state,1998,tt0120660,3,5,0,0,0
